,CauseofLoss,CommNbr,County,DateofLoss,District,Facility,FieldNumber,FieldNumber.1,Form Number,Gasident,GrossLoss,Into_Water,LeaseName,LeaseNumber,Location,MasterYear,Net Loss,OperatorNumber,Recovered,Remarks,Remedy,TypeLiquid,Type_Company_Cd,Unique_ID,Water,WaterName
9077,Equipment Failure,0.0,OCHILTREE,3/11/2017,10,Tank Battery,CUTTER (CHESTER),,116.0,174890.0,10.0,,PERRYTON GAS UNIT,0.0,"16, 12, T&GN RR CO, A-1102",2017.0,0.0,WICHITA WATER LLC,10.0,"ROUSTABOUT CLEAN UP,",Other,Crude,Other,,None,
9078,Equipment Failure,0.0,REAGAN,3/11/2017,7C,Tank Battery,SPRABERRY (TREND AREA) R 40 EXC,,81.0,0.0,74.0,,RINGO '10-7',19223.0,"SEC 10, BLK D, A-788, L&SV, RR CO",2017.0,14.0,"PARSLEY ENERGY OPERATIONS, LLC",60.0,"REMEDIATE THE IMPACTED AREA, REMOVING CALICHE, BLEND ON SITE",Other,Crude,Producer,,None,
9079,Equipment Failure,0.0,MASON,3/10/2017,8A,Tank Battery,NO FIELD NAME,,187.0,0.0,20.0,,WHEELER MCTEE,740.0,SANDEEN SWD,2017.0,0.0,"VIRTEX OPERATING COMPANY, INC.",20.0,"VAC TRUCK, BULLDOZER, HAULED CONTAINMENT TO DISPOSAL SITE",Other,Products,Producer,,None,
9080,Equipment Failure,0.0,MARTIN,3/10/2017,8,Tank Battery,SPRABERRY (TREND AREA),,311.0,0.0,34.0,,MABEE BREEDLOVE,38980.0,"32.435811, 102.153433",2017.0,1.0,DIAMONDBACK E&P LLC,33.0,"VAC TRUCK, SITE CLEAN UP",Other,Crude,Producer,,None,
9081,Equipment Failure,0.0,ECTOR,3/10/2017,8,Tank Battery,"COWDEN, SOUTH (CANYON 8790)",,505.0,0.0,22.0,,"COWDEN, ELLIOTT F. -B-",21680.0,"31.855708, -102.457061",2017.0,2.0,OCCIDENTAL PERMIAN LTD.,20.0,"PICK UP FLUID, MIX AND TILL",Other,Crude,Producer,,None,
9082,Other,6087.0,WEBB,3/10/2017,4,Tank Battery,NO FIELD NAME,,146.0,0.0,30.0,,DONNELL 54-4-22,0.0,"HE & WT RR CO SECT, 1501, A-1469",2017.0,30.0,"KILLAM OIL CO., LTD.",0.0,"LIGHTNING, REMOVED TOP SOIL, REMOVED EQUIPMENT",Other,Crude,Producer,,None,
9083,Other,0.0,NUECES,3/10/2017,4,Tank Battery,BALDWIN (7400),,94.0,201653.0,3.0,,B GALLAGHER 1GU,0.0,JOHN H. SMITH A-805,2017.0,3.0,"CANYON CREEK ENERGY TEXAS, LLC",0.0,"LIGHTING, ALL LIQUIDS BURNED, VAC TRUCK, DISPOSED OF",Other,Combined,Producer,,None,
9084,Equipment Failure,0.0,MIDLAND,3/9/2017,8,Tank Battery,PARKS (CONSOLIDATED),,426.0,0.0,70.0,,"GATLIN, MARY",39577.0,"SEC 4, BLK 40, T&P RR CO",2017.0,5.0,COG OPERATING LLC,65.0,REPLACED KIMRAY TO FLARE,Other,Crude,Producer,,None,
9085,Equipment Failure,0.0,CRANE,3/9/2017,8,Tank Battery,DUNE (WOLFCAMP),,519.0,0.0,230.0,,"ADAMS, N. A., ETAL",11383.0,"SEC 12, BLK B-24, PLS SVY",2017.0,190.0,"DEVON ENERGY PRODUCTION CO, L.P.",40.0,"VAC TRUCK, ON SITE REMEDIATION, BLENDED, TILLED, TREATED, MICROBES",Other,Crude,Producer,,None,
9086,Other,0.0,STARR,3/9/2017,4,Tank Battery,JAVELINA (VICKSBURG CONS.),,61.0,174806.0,205.0,,PHILLIPS BTLT,0.0,PHILLIPS BTLT,2017.0,205.0,OXY USA INC.,0.0,"LIGHTNING, FIRE EXTINGUISHED, EXCAVATED",Installed New Equipment,Combined,Producer,,None,
9087,Equipment Failure,0.0,UPTON,3/9/2017,7C,Tank Battery,"AMACKER-TIPPETT, SW (WOLFCAMP)",,345.0,0.0,200.0,,MARY O,14935.0,"SEC 85, BLK D, GCSF & RGNG",2017.0,15.0,SUMMIT PETROLEUM LLC,185.0,"VAC TRUCK, RETURNED TO TANKS, REMEDIATION",Other,Crude,Producer,,None,
9088,Equipment Failure,0.0,TERRY,3/9/2017,8A,Tank Battery,"TOKIO, SOUTH (LEONARD)",,719.0,0.0,20.0,,WINN,66459.0,"33.186920, -102.489415",2017.0,0.0,ENDEAVOR ENERGY RESOURCES L.P.,20.0,REMEIDATION IN PROGRESS,Other,Crude,Producer,,None,
9089,Equipment Failure,0.0,ECTOR,3/8/2017,8,Tank Battery,SPRABERRY (TREND AREA),,510.0,0.0,10.0,,"FEE ""BD""",42591.0,"SEC 11, BLK 41, T-1-S, T&P RR CO SUR",2017.0,5.0,"FASKEN OIL AND RANCH, LTD.",5.0,"OIL COLLECTED, REMEDIATION TO BE DETERMINED",Other,Crude,Producer,,None,
9090,Corrosion - Rust,0.0,MIDLAND,3/8/2017,8,Flow Line,PARKS (CONSOLIDATED),,383.0,0.0,11.0,,SOA SCHARBAUER SE,43735.0,SOA 2115 FLOWLINE,2017.0,6.0,CHEVRON U. S. A. INC.,5.0,"REMEDIATION, VAC TRUCK, EXCAVATED, BACKHOE, DISPOSED OF",Other,Crude,Producer,,None,
9091,Equipment Failure,0.0,WICHITA,3/8/2017,9,Tank Battery,WICHITA COUNTY REGULAR,,123.0,0.0,100.0,,FOWLER,17935.0,"RIVERS, W.M. A-245",2017.0,100.0,"TEXAS ENERGY OPERATIONS, LC",0.0,"TANK TRUCK SUCKING UP OIL, BACKHOE, TILLER CLEANING SPILL AREA",Other,Crude,Producer,,None,
9092,Equipment Failure,0.0,MIDLAND,3/8/2017,8,Tank Battery,SPRABERRY (TREND AREA),,324.0,0.0,50.0,,ST,39560.0,"31.9708, -1021.1991",2017.0,15.0,DIAMONDBACK E&P LLC,35.0,"SOIL WILL BE EXCAVATED, BLENDED, ON-SITE REMEDIATION",Other,Crude,Producer,,None,
9093,Equipment Failure,0.0,REEVES,3/8/2017,8,Tank Battery,WOLFBONE (TREND AREA),,516.0,0.0,35.0,,BILLY THE KID 31,41616.0,"SEC 31, BLK 5, H & G N RR CO, ABS 436",2017.0,5.0,ROSETTA RESOURCES OPERATING LP,30.0,"VAC TRUCK, DUG UP AND WILL BE REMEDIATED",Other,Crude,Producer,,None,
9094,Equipment Failure,0.0,HOOD,3/8/2017,7B,Tank Battery,NO FIELD NAME,,56.0,231715.0,30.0,,GAMBLE,0.0,"HOOE, N.H",2017.0,0.0,"TRINITY RIVER ENERGY OPER, LLC",30.0,"RECOVERED FROM SECONDARY CONTAINMENT, FLUSHED TO REMOVE RESIDUAL",Other,Gas Well Liquid,Producer,,None,
9095,Equipment Failure,0.0,MARTIN,3/8/2017,8,Tank Battery,SPRABERRY (TREND AREA),,584.0,0.0,55.0,,SALE RANCH,21162.0,"31.210325, -101.945063",2017.0,15.0,"PIONEER NATURAL RES. USA, INC.",40.0,"VAC TRUCK, REMAINING IN SITU WILL BE BROUGHT SURFACE, REMEDIATION ",Other,Crude,Producer,,None,
9096,Equipment Failure,0.0,UPTON,3/8/2017,7C,Tank Battery,PEGASUS (CONSOLIDATED),,77.0,0.0,7.0,,PEGASUS FIELD UNIT 3,17154.0,"SEC 48, BLK 41, T&P RR CO",2017.0,2.0,COG OPERATING LLC,5.0,NAVIGATOR WILL CLEAN UP THE CONTAMINATED SOIL,Other,Crude,Producer,,None,
9097,Other,0.0,WHARTON,3/7/2017,3,Tank Battery,"JONES CREEK, NORTH (WILCOX)",,57.0,249849.0,20.0,,SUPAK,0.0,"I&GN RR CO SUR 5, A-231",2017.0,20.0,KAISER-FRANCIS OIL COMPANY,0.0,"LIGHTNING, WILL REMOVE DAMAGED TANKS",Other,Crude,Producer,,None,
9098,Equipment Failure,0.0,WILSON,3/7/2017,1,Tank Battery,EAGLEVILLE (EAGLE FORD-1),,490.0,0.0,20.0,,ANTON URBANCZYK,16461.0,ANTON URHANCZYK,2017.0,2.0,HUNT OIL COMPANY,18.0,PLACE INSIDE THE PERIMETERS AT THE WELL PAD,Other,Crude,Producer,,None,
9099,Equipment Failure,0.0,LIPSCOMB,3/7/2017,10,Tank Battery,LIPSCOMB (CLEVELAND),,100.0,0.0,10.0,,JONES TRUST 272,7732.0,"SEC 272, BLK 43, H&RC RR CO",2017.0,3.0,"EOG RESOURCES, INC.",7.0,"VAC TRUCK, DIRT WILL BE HAULED TO DISPOSAL",Other,Gas Well Liquid,Producer,,None,
9100,Corrosion - Rust,0.0,REAGAN,3/7/2017,7C,Tank Battery,SPRABERRY (TREND AREA),,78.0,0.0,20.0,,SUGG A 197-195 (ALLOC-H),19095.0,"197-195 ALLOCATED-H, #8SU",2017.0,5.0,"LAREDO PETROLEUM, INC.",15.0,GANG & BACKHOE PERFORMED SOIL REMEDIATION,Other,Crude,Producer,,None,
9101,Equipment Failure,0.0,MIDLAND,3/6/2017,8,Flow Line,SPRABERRY (TREND AREA),,511.0,0.0,15.0,,"TP LAND TRUST ""F""",37074.0,"31.714273, -102.034107",2017.0,15.0,ENDEAVOR ENERGY RESOURCES L.P.,0.0,REMEDIATION IN PROGRESS,Other,Crude,Producer,,None,
9102,Equipment Failure,0.0,MIDLAND,3/6/2017,8,Flow Line,SPRABERRY (TREND AREA),,323.0,0.0,60.0,,ST S,41364.0,"31.946835, -102.230163",2017.0,15.0,DIAMONDBACK E&P LLC,45.0,"EXCAVATED, BLENDED, IN-SITU REMEDIATION",Other,Crude,Producer,,None,
9103,Equipment Failure,0.0,MITCHELL,3/5/2017,8,Flow Line,"IATAN, EAST HOWARD",,508.0,0.0,50.0,,E. H. BROWN -A-,26217.0,"SEC 11, BLK 29, T1S, T&P RR CO, A-596",2017.0,48.0,"BASA RESOURCES, INC.",2.0,"BUILT DAM ACROSS POND, DRAINED WATER, DUG UP, BACKHOE, FRESH SOIL ",Other,Crude,Producer,,Stock Tank,STOCKTANK
9104,Equipment Failure,0.0,NACOGDOCHES,3/5/2017,6,Tank Battery,GARRISON (TRAVIS PEAK),,117.0,264503.0,70.0,,GIANT GAS UNIT,0.0,"SURVEY WATKINS, H M ABS 599",2017.0,7.0,"GIANT NRG CO., LP",63.0,"SKIMMED, DELINEATED, CONTAINED, REMEDIATED",Other,Crude,Producer,,None,
9105,Corrosion - Rust,0.0,OCHILTREE,3/5/2017,10,Tank Battery,PAN PETRO (CLEVELAND),,97.0,0.0,15.0,,HALE 232,8775.0,"SEC 232, BLK 43, H&TC SUR",2017.0,5.0,APACHE CORPORATION,10.0,TILLED & TREATED THE SPILL AREA WITH MICROBES,Other,Crude,Producer,,None,
9106,Corrosion - Rust,0.0,POTTER,3/3/2017,10,Pipe Line,BIVINS LIT (CANYON LIME),,98.0,0.0,11.0,,BIVINS EAST,9336.0,"SEC 47, BLK GM2, G&M SUR",2017.0,11.0,APACHE CORPORATION,0.0,"SOIL SHREDDER, PROCESSED THE AFFECTED SOIL WITH MICROBES,",Other,Crude,Producer,,None,
9107,Corrosion - Rust,0.0,IRION,3/2/2017,7C,Pipe Line,LIN (WOLFCAMP),,68.0,0.0,5.0,,UNIVERSITY EAST,17576.0,UNIVERSITY 43-23,2017.0,5.0,"EP ENERGY E&P COMPANY, L.P.",0.0,"EXCAVATED, REPLACED",Other,Combined,Producer,,None,
9108,Equipment Failure,0.0,WICHITA,3/2/2017,9,Tank Battery,WICHITA COUNTY (SPECIAL),,62.0,0.0,15.0,,BROWN & CROSS,26756.0,"34 03 29.4, 98 55 07.6",2017.0,0.0,LAYLINE ENERGY I LLC,15.0,"FLUSHED, PICKED FLUID, DISPOSED OF, BIOREMEDIATION CHEMICALS",Other,Combined,Producer,,None,
9109,Equipment Failure,0.0,REAGAN,3/2/2017,7C,Tank Battery,SPRABERRY (TREND AREA) R 40 EXC,,79.0,0.0,8.0,,CHAR HUGHES,18582.0,"SEC 28, A-818 T.T. RR CO",2017.0,6.0,"PARSLEY ENERGY OPERATIONS, LLC",2.0,"WILL REMEDIATE THE IMIPACTED AREA, BLEND WITH CLEAN CALICHE,",Other,Crude,Producer,,None,
9110,Equipment Failure,0.0,UPTON,3/2/2017,7C,Tank Battery,SPRABERRY (TREND AREA),,161.0,0.0,30.0,,NEAL,17203.0,"SEC 4, BLK G, SUR GC&SF RR CO, DICKET, R.T., ABS A-914",2017.0,30.0,CALLON PETROLEUM OPERATING CO,0.0,"VAC TRUCK, REMOVED SONTAMINATED SOIL, REMEDIATED ON LOCATION",Other,Crude,Producer,,None,
9111,Equipment Failure,0.0,REAGAN,3/2/2017,7C,Tank Battery,LIN (WOLFCAMP),,69.0,0.0,10.0,,UNIVERSITY 11 RE,18457.0,"SEC 9, BLK 11, UL SUR",2017.0,1.0,"PERMIAN RESOURCES, LLC",9.0,"VAC TRUCK, REMEDIATION",Other,Crude,Producer,,None,
9112,Equipment Failure,0.0,CROCKETT,3/1/2017,7C,Tank Battery,LIN (WOLFCAMP),,70.0,0.0,12.0,,UNIVERSITY STONEGATE,17668.0,UNIVERSITY 38-22 CENTRAL FACILITY,2017.0,12.0,"EP ENERGY E&P COMPANY, L.P.",0.0,"EXCAVATED AND REPLACED, REMEDIATION",Other,Combined,Producer,,None,
9113,Equipment Failure,0.0,TAYLOR,3/1/2017,7B,Tank Battery,PIXIE'S PEAK (CANYON),,55.0,0.0,30.0,,GAMBLE,28070.0,"SEC 20, BLK 18, T&P RR CO SUR",2017.0,5.0,SOJOURNER DRILLING CORPORATION,25.0,"VAC TRUCK, DUG UP, REPLACED WITH NEW TOP SOIL, REMEDIATION",Other,Crude,Producer,,None,
9114,Corrosion - Rust,0.0,REAGAN,3/1/2017,7C,Tank Battery,SPRABERRY (TREND AREA),,74.0,0.0,130.0,,HOLT C 132-133 (ALLOC-D),19308.0,STEEL BURED OIL FLOWLINE,2017.0,122.0,"LAREDO PETROLEUM, INC.",8.0,"GANG & BACKHOE SPREAD OIL ABSORBENT PEAT MOSS,SOIL REMEDIATION",Other,Crude,Producer,,None,
9115,Corrosion - Rust,0.0,CROCKETT,2/28/2017,7C,Tank Battery,LIN (WOLFCAMP),,66.0,0.0,16.0,,UNIVERSITY EAST,17576.0,UNIVERSITY 41-10,2017.0,7.0,"EP ENERGY E&P COMPANY, L.P.",9.0,"EXCAVATED, REPLACED, REMEDIATION",Other,Combined,Producer,,None,
9116,Equipment Failure,0.0,DAWSON,2/28/2017,8A,Tank Battery,FELKEN (SPRABERRY),,506.0,0.0,181.0,,FELKEN WRIGHT,66824.0,"SEC 5, J. POITEVENT SUR, BLK 1",2017.0,132.0,BYRD OPERATING COMPANY,49.0,"STEAMED, SAND BLASTED, WELDING STEEL PLATES,",Other,Crude,Producer,,None,
9117,Corrosion - Rust,0.0,DENTON,2/28/2017,9,Tank Battery,"NEWARK, EAST (BARNETT SHALE)",,63.0,223643.0,40.0,,"TINDLE ""B"" UNIT",0.0,"33.239117, -97.285873",2017.0,0.0,BURLINGTON RESOURCES O & G CO LP,40.0,"VAC TRUCK, REMEIDATION",Other,Gas Well Liquid,Producer,,None,
9118,Corrosion - Rust,0.0,ATASCOSA,2/27/2017,2,Pipe Line,NO FIELD NAME,,189.0,0.0,1015.0,,GONZALES,0.0,PIPELINE SUPPLYING TANK 3804,2017.0,60.0,ENTERPRISE CRUDE PIPELINE LLC,955.0,REMEDIAL MEASURES WERE SUCCESSFUL,Other,Crude,Transporter,,None,
9119,Corrosion - Rust,0.0,REAGAN,2/27/2017,7C,Tank Battery,SPRABERRY (TREND AREA),,75.0,0.0,120.0,,HOLT C 132-133 (ALLOC-H),19309.0,STEEL BURIED FLOWLINE,2017.0,20.0,"LAREDO PETROLEUM, INC.",100.0,"GANG & BACKHOE SPREAD ABSORBENT PEAT MOSS, REMEDIATION",Other,Crude,Producer,,None,
9120,Equipment Failure,0.0,GAINES,2/27/2017,8,Tank Battery,SPRABERRY (TREND AREA),,461.0,0.0,20.0,,"FOSTER ""1""",41916.0,"SEC 304, DAWSON CSL, A-931",2017.0,5.0,"THOMPSON, J. CLEO",15.0,RECOVERED FROM INSIDE THE FIREWALL,Other,Crude,Producer,,None,
9121,Equipment Failure,0.0,REAGAN,2/26/2017,7C,Tank Battery,SPRABERRY (TREND AREA),,155.0,0.0,178.0,,UNIVNICHOLE,18980.0,"SEC 19, BLK 05, UNIVERSITY LANDS",2017.0,13.0,HENRY RESOURCES LLC,165.0,"VAC TRUCK, TILLED, REMEDIATED",Other,Crude,Producer,,None,
9122,Equipment Failure,0.0,UPTON,2/26/2017,7C,Tank Battery,SPRABERRY (TREND AREA),,160.0,0.0,25.0,,NEAL,17203.0,"SEC 30, BLK 38, T3S SUR T&P RR, ABS 913",2017.0,10.0,CALLON PETROLEUM OPERATING CO,15.0,"VAC TRUCK, REMEDIATION",Other,Crude,Producer,,None,
9123,Corrosion - Rust,0.0,ANDREWS,2/26/2017,8,Tank Battery,FULLERTON (SAN ANDRES),,328.0,0.0,10.0,,LOWE BITLER UNIT,19835.0,"SEC 2, BLK A32, SUR PSL",2017.0,2.0,"SHERIDAN PRODUCTION COMPANY, LLC",8.0,"VAC TRUCK, BACKHOE, FRESH GROUND MATERIAL, BIO-ENHANCEMENT",Other,Crude,Producer,,None,
9124,Equipment Failure,0.0,REEVES,2/26/2017,8,Tank Battery,ROJO CABALLOS (DELAWARE),,561.0,0.0,160.0,,LUCAS 23,46865.0,LUCAS 23-2,2017.0,5.0,OXY USA WTP LP,155.0,RECOVER FLUIDS AND REMEDIATE IN PLACE,Other,Combined,Producer,,None,
9125,Equipment Failure,0.0,OCHILTREE,2/25/2017,10,Tank Battery,FARNSWORTH (MORROW UPPER),,96.0,0.0,9.0,,FARNSWORTH UNIT,2959.0,"SEC 13, BLK 4T, T&HO RR CO",2017.0,1.0,"CHAPARRAL ENERGY, L.L.C.",8.0,NATURAL SOIL & OIL ABSORBENT HAVE BEEN TILLED INTO IMPACTED AREA,Other,Crude,Producer,,None,
9126,Equipment Failure,0.0,MIDLAND,2/25/2017,8,Tank Battery,VIREY (ELLENBURGER),,462.0,0.0,45.0,,DORA ROBERTS RANCH UNIT,15857.0,"31.78241, -102.2447",2017.0,5.0,OXY USA WTP LP,40.0,"EXCAVATION, REMEDIATION OF IMPACTED SOIL",Other,Crude,Producer,,None,
9127,Equipment Failure,0.0,REAGAN,2/25/2017,7C,Tank Battery,NO FIELD NAME,,71.0,0.0,14.0,,UNIVERSITY STONEGATE,0.0,"31.645611, 101.766747",2017.0,9.0,TARGA PL MID-CONT WESTTEX LLC,5.0,"BACKFILL WITH CLEAN SOIL, IMACTED SOIL REMOVED, REMEDIATION",Other,Combined,Other,,None,
9128,Equipment Failure,0.0,REAGAN,2/24/2017,7C,Tank Battery,SPRABERRY (TREND AREA),,91.0,0.0,50.0,,RINGO 14,18635.0,"SEC 14, BLK H, A-790, L&SV RR CO",2017.0,5.0,"PARSLEY ENERGY OPERATIONS, LLC",45.0,REMEDIATE THE IMPACTED AREA,Other,Crude,Producer,,None,
9129,Equipment Failure,0.0,UPTON,2/24/2017,7C,Flow Line,SPRABERRY (TREND AREA),,67.0,0.0,5.0,,XBC GIDDINGS ESTATE,16349.0,"31.464541, -101.950196",2017.0,5.0,"PIONEER NATURAL RES. USA, INC.",0.0,"EXCAVATE, AERATE, BLEND IMPACTED SOILS, BACKFILLING",Other,Crude,Producer,,None,
9130,Equipment Failure,0.0,REAGAN,2/24/2017,7C,Tank Battery,NO FIELD NAME,,72.0,0.0,45.0,,UNIVERSITY STONEGATE,0.0,"31.195259, -101.366526",2017.0,0.0,TARGA PL MID-CONT WESTTEX LLC,45.0,REMEDIATION,Other,Crude,Other,,None,
9131,Company Human Error,0.0,MARTIN,2/24/2017,8,Tank Battery,SPRABERRY (TREND AREA),,558.0,0.0,10.0,,"BROWN, PRUDIE ""10""",38045.0,"32.367920, -101.839783",2017.0,0.0,ENDEAVOR ENERGY RESOURCES L.P.,10.0,REMEDIATION IN PROGRESS,Other,Crude,Producer,,None,
9132,Equipment Failure,0.0,JACK,2/23/2017,9,Tank Battery,NO FIELD NAME,,59.0,0.0,65.0,,BICKLEY -B-,0.0,"PUTNAM, M. A-465",2017.0,40.0,"RIFE ENERGY OPERATING, INC.",25.0,"VAC TRUCK, DUG PITS, BACKHOE, REMEDIATION",Other,Combined,Transporter,,None,
9133,Equipment Failure,0.0,HOWARD,2/23/2017,8,Tank Battery,SNYDER,,507.0,0.0,224.0,,"TXL, B. S. -D-",6195.0,BATTERY,2017.0,20.0,MERIT ENERGY COMPANY,204.0,REMEDIATION,Other,Crude,Producer,,None,
9134,Equipment Failure,0.0,GONZALES,2/23/2017,1,Tank Battery,EAGLEVILLE (EAGLE FORD-1),,492.0,0.0,28.0,,DUBOSE,15406.0,"E.G. COFFMAN SUR, ABS 155",2017.0,28.0,MARATHON OIL EF LLC,0.0,"REMOVED, REMEDIATION",Other,Crude,Producer,,None,
9135,Corrosion - Rust,0.0,ATASCOSA,2/23/2017,1,Tank Battery,EAGLEVILLE (EAGLE FORD-1),,489.0,0.0,8.0,,MIDDLE MCCOWEN,15638.0,CAMPBELL BERRY SUR ABS 64,2017.0,8.0,MARATHON OIL EF LLC,0.0,"BYPASSED, DRAINED, REMOVING IMPACTED SOIL",Other,Crude,Producer,,None,
9136,Equipment Failure,0.0,UPTON,2/22/2017,7C,Tank Battery,SPRABERRY (TREND AREA),,82.0,0.0,220.0,,LAQUITA ELIZABETH,16995.0,"SEC 88, BLK D, GCSF & RGNG",2017.0,20.0,SUMMIT PETROLEUM LLC,200.0,PULLED OIL OUT OF FIRE WALL AND RETURNED TO TANKS,Other,Crude,Producer,,None,
9137,Corrosion - Rust,0.0,POTTER,2/21/2017,10,Pipe Line,NO FIELD NAME,,49.0,0.0,23.0,,UNIVERSITY 45,0.0,"SEC 59, BLK 44, H&TC RR SUR",2017.0,23.0,"PIONEER NATURAL RES. USA, INC.",0.0,"EXCAVATED, REMEDIATED ONSITE,",Other,Gas Well Liquid,Other,,None,
9138,Equipment Failure,0.0,REAGAN,2/21/2017,7C,Tank Battery,LIN (WOLFCAMP),,42.0,0.0,15.0,,HAM B,18319.0,"SEC 18, BLK LD&P RR CO",2017.0,5.0,"PERMIAN RESOURCES, LLC",10.0,SHUT IN THE PRODUCING WELL TO STOP THE RELEASE OF FLUIDS,Other,Crude,Producer,,None,
9139,Equipment Failure,0.0,LOVING,2/20/2017,8,Tank Battery,PHANTOM (WOLFCAMP),,389.0,281886.0,15.0,,CALLAHAN 54-2-17 UNIT,0.0,"31.847977, -103.6772689",2017.0,0.0,ANADARKO E&P ONSHORE LLC,15.0,"VAC TRUCK, WILL REMEIDATE",Other,Crude,Producer,,None,
9140,Equipment Failure,0.0,UPTON,2/20/2017,7C,Valve,PEGASUS (CONSOLIDATED),,34.0,0.0,30.0,,PEGASUS SPRABERRY UNIT,17147.0,"SEC 43, BLK 40, T&P RR CO",2017.0,5.0,COG OPERATING LLC,25.0,"3RD PARTY CHANGED OUT BOP, CLEAN UP PROGRESS",Other,Crude,Producer,,None,
9141,Equipment Failure,0.0,TITUS,2/20/2017,6,Pipe Line,NO FIELD NAME,,336.0,0.0,70.0,,"CATON, J. H.",0.0,"332119.17, -950141.40",2017.0,10.0,"C&S LEASE SERVICE, L.C.",60.0,"FLUSHED, VAC TRUCK, EXCAVATED, DISPOSED OF",Other,Crude,Transporter,,None,
9142,Corrosion - Rust,0.0,GLASSCOCK,2/20/2017,8,Tank Battery,SPRABERRY (TREND AREA),,465.0,0.0,13.0,,"THOMASON ""B""",24227.0,"SEC 14, BLK 35, T5S, T&P RR CO",2017.0,3.0,"PARSLEY ENERGY OPERATIONS, LLC",10.0,"VAC TRUCK, MIX, TILL IMPACT IN PLACE WITH AMENDMENTS, FRESH SOIL",Other,Crude,Producer,,None,
9143,Equipment Failure,0.0,UPTON,2/20/2017,7C,Tank Battery,SPRABERRY (TREND AREA),,33.0,0.0,10.0,,TALLEY 2,17938.0,"SEC 2, A-1, BEACH, P SUR",2017.0,5.0,"PARSLEY ENERGY OPERATIONS, LLC",5.0,"VAC TRUCK, WILL REMEDIATE THE IMPACTED AREA, FRESH CALICHE",Other,Crude,Producer,,None,
9144,Other,0.0,SHACKELFORD,2/19/2017,7B,Tank Battery,RANCH VIEW (CADDO),,120.0,0.0,85.0,,"SLOAN, ROSS",9092.0,"SUR A-202, L. MILLER",2017.0,85.0,"HARVICK, GEORGE R.",0.0,"LIGHTNING, FIRE CONSUMED THE OIL",Other,Crude,Producer,,None,
9145,Equipment Failure,0.0,REEVES,2/19/2017,8,Tank Battery,PHANTOM (WOLFCAMP),,302.0,279167.0,6.0,,JR 56-T3-26,0.0,"SEC 26, BLK 56, T3S, T&P RR CO SUR",2017.0,0.0,BHP BILLITON PET(TXLA OP) CO,6.0,"VAC TRUCK, REMEDIATION UNDERWAY",Other,Combined,Producer,,None,
9146,Equipment Failure,0.0,MARTIN,2/19/2017,8,Tank Battery,SPRABERRY (TREND AREA),,557.0,0.0,165.0,,"WILLIAMS ""9""",38882.0,"32.376744, -101.813280",2017.0,40.0,ENDEAVOR ENERGY RESOURCES L.P.,125.0,REMEDIATION IN PROGRESS,Other,Crude,Producer,,None,
9147,Equipment Failure,0.0,MIDLAND,2/19/2017,8,Flow Line,SPRABERRY (TREND AREA),,322.0,0.0,60.0,,ST,39560.0,"31.974042, -102.231611",2017.0,15.0,DIAMONDBACK E&P LLC,45.0,"EXCAVATED, BLENDED, IN-SITU REMEDIATION",Other,Crude,Producer,,None,
9148,Equipment Failure,0.0,REEVES,2/19/2017,8,Tank Battery,WOLFBONE (TREND AREA),,469.0,0.0,35.0,,INTREPID STATE 27-38,45386.0,"SEC 27, BLK C-7, P.S.L SUR, AB 4361",2017.0,0.0,ROSETTA RESOURCES OPERATING LP,35.0,"VAC TRUCK, NO OIL SPILLED ON THE GROUND",Other,Crude,Producer,,None,
9149,Equipment Failure,0.0,WILSON,2/18/2017,1,Tank Battery,EAGLEVILLE (EAGLE FORD-1),,491.0,0.0,240.0,,O. BORCHERS D,16439.0,"V. BOROHERS, ABS4H",2017.0,24.0,HUNT OIL COMPANY,216.0,REMEDIATION JOB IN THE WORKS,Other,Crude,Producer,,None,
9150,Equipment Failure,0.0,LOVING,2/18/2017,8,Tank Battery,TWO GEORGES (BONE SPRING),,468.0,0.0,9.0,,UNIVERSITY 11-19,41901.0,"31.710353, -103.379167",2017.0,1.0,ENERGEN RESOURCES CORPORATION,8.0,"VAC TRUCK, REMEDIATED IN PLACE",Other,Crude,Producer,,None,
9151,Vandalism,0.0,ECTOR,2/18/2017,8,Tank Battery,SPRABERRY (TREND AREA),,847.0,0.0,119.0,,"PARMER ""1""",42193.0,"SEC 315, PARMER CSL, LABOR 1, A1378",2017.0,69.0,"THOMPSON, J. CLEO",50.0,"SHERIFF OFFICE CALLED, REMEDIATED IN PLACE",Other,Crude,Producer,,None,
9152,Equipment Failure,0.0,REAGAN,2/17/2017,7C,Tank Battery,LIN (WOLFCAMP),,41.0,0.0,20.0,,HAM B,18319.0,"SEC 18, BLK LD&P RR CO",2017.0,5.0,"PERMIAN RESOURCES, LLC",15.0,SHUT IN PRODUCING WELL TO STOP THE RELEASE OF FLUID,Other,Crude,Producer,,None,
9153,Equipment Failure,0.0,MIDLAND,2/17/2017,8,Tank Battery,SPRABERRY (TREND AREA),,455.0,0.0,265.0,,EARLY SWD,25488.0,"M E SPARKS A591, BLK 38",2017.0,5.0,"KEY ENERGY SERVICES, LLC",260.0,"SYSTEM SHUT DOWN, VAC TRUCK, CONTAMINATED SOIL WILL BE REMEDIATED ",Other,Combined,Other,,None,
